"RACEID","YEAR","ROUND","NAME","F1DATE","TIME","URL","SCORE","DNF_COUNT","DNF_DUE_TO_ACCIDENT_COUNT","WEATHER","WEATHER_WET","CIRCUITREF","YEAR_C","RACE_COUNT","NAME_YEAR","OVERTAKEN_POSITIONS_TOTAL"
993,2018,5,"Spanish Grand Prix",13-MAY-18,"13:10:00","https://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix",4.81,6,3,"Partially cloudy and dry, 16°C and cold.","N","catalunya","2018",1,"2018 Spanish Grand Prix",94
1023,2019,14,"Italian Grand Prix",08-SEP-19,"13:10:00","https://en.wikipedia.org/wiki/2019_Italian_Grand_Prix",8.2,3,0,"Partly cloudy","N","monza","2019",1,"2019 Italian Grand Prix",130
1045,2020,15,"Bahrain Grand Prix",29-NOV-20,"14:10:00","https://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix",6.3,3,2,"Clear","N","bahrain","2020",1,"2020 Bahrain Grand Prix",219
1032,2020,2,"Styrian Grand Prix",12-JUL-20,"13:10:00","https://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix",6.6,3,0,"Sunny","N","red_bull_ring","2020",1,"2020 Styrian Grand Prix",131
859,2011,19,"Brazilian Grand Prix",27-NOV-11,"16:00:00","http://en.wikipedia.org/wiki/2011_Brazilian_Grand_Prix",5.771,4,0,"Fine Air Temp 24 °C (75 °F) Track Temp 43 °C (109 °F)[1]","N","interlagos","2011",1,"2011 Brazilian Grand Prix",178
879,2012,20,"Brazilian Grand Prix",25-NOV-12,"16:00:00","http://en.wikipedia.org/wiki/2012_Brazilian_Grand_Prix",9.449,6,6,"Race start: drops of rain, light rain shower getting heavier at the end.[2] Air Temp 19 °C (66 °F)[2] Track Temp 21 °C (70 °F)[2]","Y","interlagos","2012",1,"2012 Brazilian Grand Prix",367
918,2014,19,"Abu Dhabi Grand Prix",23-NOV-14,"13:00:00","http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix",6.49,3,0,"Clear skies; Air temp: 30 °C (86 °F) during the day, dropping to 24 °C (75.2 °F). Wind speed: 8 km/h (4.9 mph).[2] (Night race)","N","yas_marina","2014",1,"2014 Abu Dhabi Grand Prix",219
956,2016,9,"Austrian Grand Prix",03-JUL-16,"12:00:00","https://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix",8.1,6,0,"Cloudy","N","red_bull_ring","2016",1,"2016 Austrian Grand Prix",300
1009,2018,21,"Abu Dhabi Grand Prix",25-NOV-18,"13:10:00","https://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix",6.58,5,1,"not found","N","yas_marina","2018",1,"2018 Abu Dhabi Grand Prix",107
1003,2018,15,"Singapore Grand Prix",16-SEP-18,"12:10:00","https://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix",4.98,1,1,"not found","N","marina_bay","2018",1,"2018 Singapore Grand Prix",105
948,2016,1,"Australian Grand Prix",20-MAR-16,"5:00:00","https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix",7.76,6,2,"Partly cloudy22–23 °C (72–73 °F) air temperature26–36 °C (79–97 °F) track temperature4 m/s (8.9 mph; 14 km/h) wind from the south[4]","N","albert_park","2016",1,"2016 Australian Grand Prix",145
1010,2019,1,"Australian Grand Prix",17-MAR-19,"5:10:00","https://en.wikipedia.org/wiki/2019_Australian_Grand_Prix",6.3,3,1,"not found","N","albert_park","2019",1,"2019 Australian Grand Prix",83
1035,2020,5,"70th Anniversary Grand Prix",09-AUG-20,"13:10:00","https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix",6.8,1,0,"Sunny","N","silverstone","2020",1,"2020 70th Anniversary Grand Prix",215
939,2015,13,"Singapore Grand Prix",20-SEP-15,"12:00:00","https://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix",6.55,6,1,"Dry28–29 °C (82–84 °F) air temperature34–36 °C (93–97 °F) track temperature0.5 m/s (1.6 ft/s) wind from the west[2]","N","marina_bay","2015",1,"2015 Singapore Grand Prix",129
900,2014,1,"Australian Grand Prix",16-MAR-14,"6:00:00","https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix",6.89,8,2,"Overcast, 19 °C(66 °F)","N","albert_park","2014",1,"2014 Australian Grand Prix",81
26,2008,9,"British Grand Prix",06-JUL-08,"12:00:00","http://en.wikipedia.org/wiki/2008_British_Grand_Prix",8.164,7,7,"Rain, later drying","Y","silverstone","2008",1,"2008 British Grand Prix",137
22,2008,5,"Turkish Grand Prix",11-MAY-08,"12:00:00","http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix",6.816,3,2,"Sunny with temperatures reaching up to 17 °C (63 °F)[3]","N","istanbul","2008",1,"2008 Turkish Grand Prix",147
3,2009,3,"Chinese Grand Prix",19-APR-09,"7:00:00","http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix",6.69,4,2,"Rain","Y","shanghai","2009",1,"2009 Chinese Grand Prix",234
5,2009,5,"Spanish Grand Prix",10-MAY-09,"12:00:00","http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix",5.33,6,4,"Warm, Sunny","N","catalunya","2009",1,"2009 Spanish Grand Prix",106
340,2010,4,"Chinese Grand Prix",18-APR-10,"6:00:00","http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix",8.326,7,3,"Cloudy, rain","Y","shanghai","2010",1,"2010 Chinese Grand Prix",203
849,2011,9,"British Grand Prix",10-JUL-11,"12:00:00","http://en.wikipedia.org/wiki/2011_British_Grand_Prix",7.96,5,1,"Wet track at start; subsequently drying[1]Air Temp 20 °C (68 °F)[1]Track Temp 22 °C (72 °F)[1]","Y","silverstone","2011",1,"2011 British Grand Prix",169
868,2012,9,"British Grand Prix",08-JUL-12,"12:00:00","http://en.wikipedia.org/wiki/2012_British_Grand_Prix",7.048,3,2,"DryAir Temp 20 °C (68 °F)[2]Track Temp 31 °C (88 °F)[2]","N","silverstone","2012",1,"2012 British Grand Prix",218
981,2017,13,"Italian Grand Prix",03-SEP-17,"12:00:00","https://en.wikipedia.org/wiki/2017_Italian_Grand_Prix",5.93,4,0,"Sunny","N","monza","2017",1,"2017 Italian Grand Prix",132
28,2008,11,"Hungarian Grand Prix",03-AUG-08,"12:00:00","http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix",6.202,3,0,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)","N","hungaroring","2008",1,"2008 Hungarian Grand Prix",127
976,2017,8,"Azerbaijan Grand Prix",25-JUN-17,"13:00:00","https://en.wikipedia.org/wiki/2017_Azerbaijan_Grand_Prix",8.79,7,1,"Sunny","N","BAK","2017",1,"2017 Azerbaijan Grand Prix",136
4,2009,4,"Bahrain Grand Prix",26-APR-09,"12:00:00","http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix",6.42,1,0,"Sunny","N","bahrain","2009",1,"2009 Bahrain Grand Prix",177
20,2008,3,"Bahrain Grand Prix",06-APR-08,"11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix",5.364,3,1,"Dry","N","bahrain","2008",1,"2008 Bahrain Grand Prix",148
902,2014,3,"Bahrain Grand Prix",06-APR-14,"15:00:00","http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix",9.1,6,2,"Dry","N","bahrain","2014",1,"2014 Bahrain Grand Prix",249
1027,2019,18,"Mexican Grand Prix",27-OCT-19,"19:10:00","https://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix",6.6,2,0,"Partly cloudy","N","rodriguez","2019",1,"2019 Mexican Grand Prix",155
910,2014,11,"Hungarian Grand Prix",27-JUL-14,"12:00:00","http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix",9.14,6,4,"Overcast. Wet track at start, then drying. Scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees.[1]","Y","hungaroring","2014",1,"2014 Hungarian Grand Prix",247
836,1950,4,"Swiss Grand Prix",04-JUN-50,"\N","http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix",,7,2,"Warm, dry and sunny","N","bremgarten","1950",1,"1950 Swiss Grand Prix",0
825,1951,1,"Swiss Grand Prix",27-MAY-51,"\N","http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix",,7,3,"not found","N","bremgarten","1951",1,"1951 Swiss Grand Prix",0
823,1952,7,"Dutch Grand Prix",17-AUG-52,"\N","http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix",,9,0,"Rainy","Y","zandvoort","1952",1,"1952 Dutch Grand Prix",0
817,1952,1,"Swiss Grand Prix",18-MAY-52,"\N","http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix",,14,1,"Sunny","N","bremgarten","1952",1,"1952 Swiss Grand Prix",0
810,1953,3,"Dutch Grand Prix",07-JUN-53,"\N","http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix",,10,0,"Sunny, mild, dry","N","zandvoort","1953",1,"1953 Dutch Grand Prix",0
815,1953,8,"Swiss Grand Prix",23-AUG-53,"\N","http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix",,12,2,"Sunny, mild, dry","N","bremgarten","1953",1,"1953 Swiss Grand Prix",0
805,1954,7,"Swiss Grand Prix",22-AUG-54,"\N","http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix",,9,1,"Rain","Y","bremgarten","1954",1,"1954 Swiss Grand Prix",0
796,1955,5,"Dutch Grand Prix",19-JUN-55,"\N","http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix",,5,2,"Drizzly","N","zandvoort","1955",1,"1955 Dutch Grand Prix",0
767,1958,3,"Dutch Grand Prix",26-MAY-58,"\N","http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix",,7,0,"not found","N","zandvoort","1958",1,"1958 Dutch Grand Prix",0
758,1959,3,"Dutch Grand Prix",31-MAY-59,"\N","http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix",,5,0,"Sunny","N","zandvoort","1959",1,"1959 Dutch Grand Prix",0
749,1960,4,"Dutch Grand Prix",06-JUN-60,"\N","http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix",,13,1,"not found","N","zandvoort","1960",1,"1960 Dutch Grand Prix",0
739,1961,2,"Dutch Grand Prix",22-MAY-61,"\N","http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix",,2,0,"Sunny","N","zandvoort","1961",1,"1961 Dutch Grand Prix",0
729,1962,1,"Dutch Grand Prix",20-MAY-62,"\N","http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix",,13,6,"Sunny","N","zandvoort","1962",1,"1962 Dutch Grand Prix",0
721,1963,3,"Dutch Grand Prix",23-JUN-63,"\N","http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix",,10,1,"Sunny","N","zandvoort","1963",1,"1963 Dutch Grand Prix",0
710,1964,2,"Dutch Grand Prix",24-MAY-64,"\N","http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix",,6,1,"Dry","N","zandvoort","1964",1,"1964 Dutch Grand Prix",0
704,1965,6,"Dutch Grand Prix",18-JUL-65,"\N","http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix",,4,0,"not found","N","zandvoort","1965",1,"1965 Dutch Grand Prix",0
694,1966,5,"Dutch Grand Prix",24-JUL-66,"\N","http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix",,8,2,"Sunny, Mild, Dry","N","zandvoort","1966",1,"1966 Dutch Grand Prix",0
