"RACEID","DRIVERID","STOP","LAP","TIME","DURATION","MILLISECONDS","DATETIME_PITSTOP","DRIVERREF"
851,17,2,25,"14:44:03","20.000",20000,31-JUL-11,"webber"
851,808,2,25,"14:44:47","24.194",24194,31-JUL-11,"petrov"
851,67,2,25,"14:44:55","21.460",21460,31-JUL-11,"buemi"
851,1,2,26,"14:45:16","20.803",20803,31-JUL-11,"hamilton"
851,24,2,25,"14:46:40","22.501",22501,31-JUL-11,"liuzzi"
851,16,2,26,"14:46:48","20.589",20589,31-JUL-11,"sutil"
851,18,2,27,"14:46:49","21.065",21065,31-JUL-11,"button"
851,20,2,28,"14:48:22","20.611",20611,31-JUL-11,"vettel"
851,813,3,28,"14:49:55","21.426",21426,31-JUL-11,"maldonado"
851,10,2,28,"14:50:32","20.613",20613,31-JUL-11,"glock"
851,816,2,29,"14:52:27","20.916",20916,31-JUL-11,"ambrosio"
851,155,2,34,"14:58:08","22.852",22852,31-JUL-11,"kobayashi"
851,4,3,36,"15:00:23","19.936",19936,31-JUL-11,"alonso"
851,17,3,39,"15:04:48","20.673",20673,31-JUL-11,"webber"
851,24,3,37,"15:05:37","27.839",27839,31-JUL-11,"liuzzi"
851,1,3,40,"15:05:54","20.861",20861,31-JUL-11,"hamilton"
851,18,3,42,"15:08:53","20.046",20046,31-JUL-11,"button"
851,814,3,42,"15:10:06","20.935",20935,31-JUL-11,"resta"
851,67,3,43,"15:11:41","20.360",20360,31-JUL-11,"buemi"
851,815,4,44,"15:14:07","20.917",20917,31-JUL-11,"perez"
851,817,3,43,"15:14:54","21.651",21651,31-JUL-11,"ricciardo"
851,816,3,47,"15:20:46","49.849",49849,31-JUL-11,"ambrosio"
851,3,3,50,"15:22:04","20.563",20563,31-JUL-11,"rosberg"
851,17,4,51,"15:22:51","21.122",21122,31-JUL-11,"webber"
851,808,3,50,"15:22:54","21.353",21353,31-JUL-11,"petrov"
851,16,3,50,"15:23:22","21.796",21796,31-JUL-11,"sutil"
851,24,4,48,"15:23:32","23.010",23010,31-JUL-11,"liuzzi"
851,813,4,50,"15:23:34","23.016",23016,31-JUL-11,"maldonado"
851,17,5,53,"15:26:20","20.715",20715,31-JUL-11,"webber"
851,22,5,52,"15:26:36","25.596",25596,31-JUL-11,"barrichello"
851,5,5,52,"15:28:12","21.715",21715,31-JUL-11,"kovalainen"
851,16,4,53,"15:28:27","21.503",21503,31-JUL-11,"sutil"
851,816,4,51,"15:28:37","22.470",22470,31-JUL-11,"ambrosio"
851,3,4,54,"15:28:47","23.244",23244,31-JUL-11,"rosberg"
851,10,3,53,"15:30:17","20.929",20929,31-JUL-11,"glock"
851,1,6,56,"15:30:48","13.173",13173,31-JUL-11,"hamilton"
851,155,3,62,"15:40:56","21.258",21258,31-JUL-11,"kobayashi"
852,10,1,1,"14:05:58","35.092",35092,28-AUG-11,"glock"
852,5,1,1,"14:06:14","28.539",28539,28-AUG-11,"kovalainen"
852,18,1,3,"14:09:46","26.046",26046,28-AUG-11,"button"
852,30,1,4,"14:11:45","20.153",20153,28-AUG-11,"michael_schumacher"
852,20,1,5,"14:13:27","20.898",20898,28-AUG-11,"vettel"
852,4,1,8,"14:19:18","20.994",20994,28-AUG-11,"alonso"
852,811,2,8,"14:20:14","13.968",13968,28-AUG-11,"bruno_senna"
852,13,1,9,"14:21:21","22.267",22267,28-AUG-11,"massa"
852,3,1,11,"14:25:16","23.090",23090,28-AUG-11,"rosberg"
852,808,1,12,"14:27:22","21.395",21395,28-AUG-11,"petrov"
852,20,2,13,"14:29:09","21.411",21411,28-AUG-11,"vettel"
852,16,1,13,"14:29:31","22.773",22773,28-AUG-11,"sutil"
852,22,1,13,"14:29:38","21.818",21818,28-AUG-11,"barrichello"
852,817,1,13,"14:30:19","23.780",23780,28-AUG-11,"ricciardo"
852,15,1,13,"14:30:20","22.159",22159,28-AUG-11,"trulli"
852,5,2,13,"14:30:46","22.009",22009,28-AUG-11,"kovalainen"
852,155,1,14,"14:32:10","24.161",24161,28-AUG-11,"kobayashi"
852,814,1,14,"14:32:11","21.334",21334,28-AUG-11,"resta"
852,10,3,14,"14:33:40","24.204",24204,28-AUG-11,"glock"
852,815,2,22,"14:49:35","14.089",14089,28-AUG-11,"perez"
852,815,3,23,"14:51:40","23.883",23883,28-AUG-11,"perez"
852,24,2,27,"14:59:56","30.959",30959,28-AUG-11,"liuzzi"
852,4,2,29,"15:02:28","21.243",21243,28-AUG-11,"alonso"
852,813,2,29,"15:03:01","22.303",22303,28-AUG-11,"maldonado"
852,20,3,30,"15:04:14","20.786",20786,28-AUG-11,"vettel"
852,3,2,30,"15:04:42","21.171",21171,28-AUG-11,"rosberg"
852,13,2,30,"15:04:43","21.856",21856,28-AUG-11,"massa"
852,808,2,30,"15:04:45","21.979",21979,28-AUG-11,"petrov"
852,814,2,30,"15:05:01","21.350",21350,28-AUG-11,"resta"
852,17,2,31,"15:06:19","20.947",20947,28-AUG-11,"webber"
852,30,3,31,"15:06:39","21.319",21319,28-AUG-11,"michael_schumacher"
852,22,2,31,"15:06:56","21.478",21478,28-AUG-11,"barrichello"
852,15,2,31,"15:07:16","21.484",21484,28-AUG-11,"trulli"
852,13,3,32,"15:08:49","21.485",21485,28-AUG-11,"massa"
852,5,3,33,"15:11:16","22.306",22306,28-AUG-11,"kovalainen"
852,10,4,35,"15:15:37","21.721",21721,28-AUG-11,"glock"
852,816,2,36,"15:17:29","22.114",22114,28-AUG-11,"ambrosio"
853,155,1,1,"14:05:42","27.550",27550,11-SEP-11,"kobayashi"
853,22,1,1,"14:06:43","29.157",29157,11-SEP-11,"barrichello"
853,811,1,2,"14:08:02","22.534",22534,11-SEP-11,"bruno_senna"
853,15,1,5,"14:13:34","30.391",30391,11-SEP-11,"trulli"
853,814,1,13,"14:25:33","21.870",21870,11-SEP-11,"resta"
853,30,1,16,"14:29:42","22.709",22709,11-SEP-11,"michael_schumacher"
853,67,1,16,"14:30:10","24.234",24234,11-SEP-11,"buemi"
853,18,1,17,"14:31:10","21.660",21660,11-SEP-11,"button"
853,155,2,18,"14:33:12","22.939",22939,11-SEP-11,"kobayashi"
853,4,1,19,"14:34:04","22.539",22539,11-SEP-11,"alonso"
853,813,1,19,"14:34:39","23.063",23063,11-SEP-11,"maldonado"
853,811,2,19,"14:34:43","23.145",23145,11-SEP-11,"bruno_senna"
853,153,1,20,"14:36:08","21.988",21988,11-SEP-11,"alguersuari"
853,10,1,20,"14:36:42","25.147",25147,11-SEP-11,"glock"
853,13,1,21,"14:37:20","21.821",21821,11-SEP-11,"massa"
853,5,1,21,"14:38:01","23.298",23298,11-SEP-11,"kovalainen"
853,814,2,31,"14:52:56","23.069",23069,11-SEP-11,"resta"
853,22,2,32,"14:54:59","23.414",23414,11-SEP-11,"barrichello"
853,18,2,33,"14:55:00","22.095",22095,11-SEP-11,"button"
853,817,2,20,"14:55:30","30.777",30777,11-SEP-11,"ricciardo"
853,1,2,34,"14:56:36","21.876",21876,11-SEP-11,"hamilton"
853,20,2,35,"14:57:38","21.378",21378,11-SEP-11,"vettel"
853,5,2,35,"14:59:46","22.611",22611,11-SEP-11,"kovalainen"
853,813,2,37,"15:02:04","22.614",22614,11-SEP-11,"maldonado"
853,10,2,38,"15:04:43","22.784",22784,11-SEP-11,"glock"
853,67,2,40,"15:06:23","24.086",24086,11-SEP-11,"buemi"
853,811,3,40,"15:06:27","22.273",22273,11-SEP-11,"bruno_senna"
853,13,2,41,"15:07:06","22.148",22148,11-SEP-11,"massa"
854,817,1,1,"20:06:48","44.170",44170,25-SEP-11,"ricciardo"
854,3,1,9,"20:21:25","29.549",29549,25-SEP-11,"rosberg"
854,4,1,10,"20:23:15","30.621",30621,25-SEP-11,"alonso"
854,30,1,10,"20:23:27","29.610",29610,25-SEP-11,"michael_schumacher"
854,13,1,11,"20:25:14","30.290",30290,25-SEP-11,"massa"
854,1,1,11,"20:25:15","30.142",30142,25-SEP-11,"hamilton"
854,16,1,11,"20:25:25","30.718",30718,25-SEP-11,"sutil"
854,813,1,11,"20:25:39","30.888",30888,25-SEP-11,"maldonado"
854,67,1,11,"20:25:50","32.827",32827,25-SEP-11,"buemi"
854,811,2,11,"20:26:39","36.856",36856,25-SEP-11,"bruno_senna"
854,17,1,12,"20:27:10","30.462",30462,25-SEP-11,"webber"
854,22,1,12,"20:27:40","30.456",30456,25-SEP-11,"barrichello"
854,1,2,13,"20:29:39","33.456",33456,25-SEP-11,"hamilton"
854,24,1,13,"20:30:31","34.329",34329,25-SEP-11,"liuzzi"
854,20,1,14,"20:30:38","30.023",30023,25-SEP-11,"vettel"
854,18,1,14,"20:30:49","30.169",30169,25-SEP-11,"button"
854,815,1,15,"20:33:28","30.810",30810,25-SEP-11,"perez"
854,155,1,16,"20:35:49","30.464",30464,25-SEP-11,"kobayashi"
854,15,1,16,"20:36:05","31.048",31048,25-SEP-11,"trulli"
854,808,1,16,"20:36:09","30.807",30807,25-SEP-11,"petrov"
854,817,2,15,"20:36:19","34.782",34782,25-SEP-11,"ricciardo"
854,153,1,17,"20:38:05","30.948",30948,25-SEP-11,"alguersuari"
854,814,1,19,"20:41:08","30.704",30704,25-SEP-11,"resta"
854,15,2,19,"20:43:14","33.317",33317,25-SEP-11,"trulli"
854,3,2,22,"20:47:06","29.417",29417,25-SEP-11,"rosberg"
854,13,3,24,"20:51:44","30.478",30478,25-SEP-11,"massa"
854,153,2,24,"20:52:14","24.299",24299,25-SEP-11,"alguersuari"
854,4,2,25,"20:52:35","30.387",30387,25-SEP-11,"alonso"
854,813,2,25,"20:53:37","30.187",30187,25-SEP-11,"maldonado"
854,24,2,26,"20:57:30","32.122",32122,25-SEP-11,"liuzzi"
854,816,2,28,"21:00:59","31.592",31592,25-SEP-11,"ambrosio"
854,814,2,29,"21:01:05","29.764",29764,25-SEP-11,"resta"
854,3,3,29,"21:01:12","30.261",30261,25-SEP-11,"rosberg"
854,815,2,29,"21:01:17","33.344",33344,25-SEP-11,"perez"
854,817,3,27,"21:01:25","33.058",33058,25-SEP-11,"ricciardo"
854,20,2,30,"21:01:48","30.809",30809,25-SEP-11,"vettel"
854,155,2,29,"21:01:59","31.602",31602,25-SEP-11,"kobayashi"
854,18,2,30,"21:02:11","29.921",29921,25-SEP-11,"button"
854,22,2,30,"21:04:10","30.544",30544,25-SEP-11,"barrichello"
854,153,3,35,"21:16:28","31.836",31836,25-SEP-11,"alguersuari"
854,13,4,41,"21:26:06","30.983",30983,25-SEP-11,"massa"
854,813,3,45,"21:33:51","30.477",30477,25-SEP-11,"maldonado"
854,15,3,44,"21:36:23","31.168",31168,25-SEP-11,"trulli"
854,18,3,48,"21:38:31","30.305",30305,25-SEP-11,"button"
854,1,5,48,"21:39:06","29.876",29876,25-SEP-11,"hamilton"
854,5,3,47,"21:40:09","31.207",31207,25-SEP-11,"kovalainen"
854,808,3,47,"21:40:13","30.485",30485,25-SEP-11,"petrov"
854,67,3,49,"21:41:40","32.739",32739,25-SEP-11,"buemi"
854,24,4,46,"21:41:47","42.920",42920,25-SEP-11,"liuzzi"
854,155,4,53,"21:51:26","30.869",30869,25-SEP-11,"kobayashi"
855,1,1,8,"15:17:14","21.091",21091,09-OCT-11,"hamilton"
855,16,1,8,"15:17:26","21.511",21511,09-OCT-11,"sutil"
855,30,1,9,"15:19:04","20.667",20667,09-OCT-11,"michael_schumacher"
855,18,1,10,"15:20:34","21.094",21094,09-OCT-11,"button"
855,4,1,10,"15:20:34","21.147",21147,09-OCT-11,"alonso"
855,814,1,10,"15:20:50","21.964",21964,09-OCT-11,"resta"
855,5,1,10,"15:21:10","21.412",21412,09-OCT-11,"kovalainen"
855,13,1,11,"15:22:19","21.313",21313,09-OCT-11,"massa"
855,15,1,11,"15:22:59","21.636",21636,09-OCT-11,"trulli"
855,817,1,11,"15:23:13","23.723",23723,09-OCT-11,"ricciardo"
855,10,1,12,"15:24:57","25.563",25563,09-OCT-11,"glock"
855,816,1,13,"15:26:41","23.013",23013,09-OCT-11,"ambrosio"
855,811,1,15,"15:29:45","25.927",25927,09-OCT-11,"bruno_senna"
855,813,1,16,"15:31:31","21.339",21339,09-OCT-11,"maldonado"
855,20,2,19,"15:35:48","21.596",21596,09-OCT-11,"vettel"
855,17,2,19,"15:35:57","21.369",21369,09-OCT-11,"webber"
855,10,2,19,"15:37:30","21.726",21726,09-OCT-11,"glock"
855,815,1,20,"15:38:10","21.655",21655,09-OCT-11,"perez"
855,4,2,21,"15:39:11","21.319",21319,09-OCT-11,"alonso"
855,5,2,22,"15:42:00","21.519",21519,09-OCT-11,"kovalainen"
855,817,2,22,"15:42:48","23.172",23172,09-OCT-11,"ricciardo"
855,16,2,23,"15:43:10","21.337",21337,09-OCT-11,"sutil"
855,814,2,24,"15:45:11","21.964",21964,09-OCT-11,"resta"
855,155,2,24,"15:45:21","22.299",22299,09-OCT-11,"kobayashi"
855,22,2,24,"15:45:22","22.736",22736,09-OCT-11,"barrichello"
855,24,2,23,"15:45:48","24.716",24716,09-OCT-11,"liuzzi"
855,15,2,24,"15:46:04","22.233",22233,09-OCT-11,"trulli"
855,17,3,34,"16:03:28","21.455",21455,09-OCT-11,"webber"
855,1,3,35,"16:05:09","21.292",21292,09-OCT-11,"hamilton"
855,814,3,35,"16:05:21","21.553",21553,09-OCT-11,"resta"
855,811,2,35,"16:05:42","22.466",22466,09-OCT-11,"bruno_senna"
841,153,1,1,"17:05:23","26.898",26898,27-MAR-11,"alguersuari"
841,30,1,1,"17:05:52","25.021",25021,27-MAR-11,"michael_schumacher"
841,4,1,12,"17:22:34","23.251",23251,27-MAR-11,"alonso"
841,13,1,13,"17:24:10","23.842",23842,27-MAR-11,"massa"
841,22,1,13,"17:24:29","23.643",23643,27-MAR-11,"barrichello"
841,20,1,14,"17:25:17","22.603",22603,27-MAR-11,"vettel"
841,816,1,14,"17:26:50","25.259",25259,27-MAR-11,"ambrosio"
841,67,1,15,"17:27:34","25.342",25342,27-MAR-11,"buemi"
841,2,1,15,"17:27:41","22.994",22994,27-MAR-11,"heidfeld"
841,1,1,16,"17:28:24","23.227",23227,27-MAR-11,"hamilton"
841,808,1,16,"17:28:39","24.535",24535,27-MAR-11,"petrov"
841,155,1,16,"17:29:06","24.064",24064,27-MAR-11,"kobayashi"
841,16,1,16,"17:29:08","25.978",25978,27-MAR-11,"sutil"
841,15,1,16,"17:29:49","24.899",24899,27-MAR-11,"trulli"
841,18,1,17,"17:30:24","16.867",16867,27-MAR-11,"button"
841,5,1,17,"17:31:11","24.865",24865,27-MAR-11,"kovalainen"
841,30,2,17,"17:32:08","23.988",23988,27-MAR-11,"michael_schumacher"
841,10,1,18,"17:33:02","23.792",23792,27-MAR-11,"glock"
841,18,2,19,"17:33:53","23.303",23303,27-MAR-11,"button"
841,22,2,23,"17:40:45","37.856",37856,27-MAR-11,"barrichello"
841,17,2,26,"17:44:29","22.520",22520,27-MAR-11,"webber"
841,4,2,27,"17:46:04","24.733",24733,27-MAR-11,"alonso"
841,22,3,28,"17:49:07","16.892",16892,27-MAR-11,"barrichello"
841,2,2,30,"17:51:32","25.098",25098,27-MAR-11,"heidfeld"
841,13,2,31,"17:52:28","24.500",24500,27-MAR-11,"massa"
841,155,2,32,"17:54:21","24.192",24192,27-MAR-11,"kobayashi"
841,20,2,36,"17:59:17","24.036",24036,27-MAR-11,"vettel"
841,153,3,35,"17:59:45","26.348",26348,27-MAR-11,"alguersuari"
841,808,2,36,"17:59:47","25.683",25683,27-MAR-11,"petrov"
841,814,2,36,"18:00:48","24.332",24332,27-MAR-11,"resta"
841,18,3,37,"18:01:49","22.681",22681,27-MAR-11,"button"
841,16,2,37,"18:02:15","23.871",23871,27-MAR-11,"sutil"
841,816,2,38,"18:06:53","26.446",26446,27-MAR-11,"ambrosio"
841,17,3,41,"18:07:37","26.230",26230,27-MAR-11,"webber"
841,22,4,40,"18:08:03","26.309",26309,27-MAR-11,"barrichello"
841,4,3,42,"18:09:08","24.181",24181,27-MAR-11,"alonso"
842,16,1,3,"16:09:07","31.694",31694,10-APR-11,"sutil"
842,22,1,3,"16:10:04","32.978",32978,10-APR-11,"barrichello"
842,17,1,10,"16:21:21","22.572",22572,10-APR-11,"webber"
842,814,1,11,"16:23:16","22.773",22773,10-APR-11,"resta"
842,20,1,13,"16:26:17","23.019",23019,10-APR-11,"vettel"
842,2,1,13,"16:26:28","23.900",23900,10-APR-11,"heidfeld"
842,18,1,13,"16:26:29","22.400",22400,10-APR-11,"button"
842,13,1,13,"16:26:30","29.224",29224,10-APR-11,"massa"
842,15,1,13,"16:27:03","25.516",25516,10-APR-11,"trulli"
842,4,1,14,"16:28:15","23.152",23152,10-APR-11,"alonso"
842,808,1,15,"16:30:10","23.182",23182,10-APR-11,"petrov"
842,67,1,15,"16:30:23","23.280",23280,10-APR-11,"buemi"
842,3,1,15,"16:30:37","24.967",24967,10-APR-11,"rosberg"
842,5,1,15,"16:30:37","29.084",29084,10-APR-11,"kovalainen"
842,16,2,16,"16:32:31","22.046",22046,10-APR-11,"sutil"
842,155,1,17,"16:33:53","23.280",23280,10-APR-11,"kobayashi"
842,815,1,17,"16:34:14","23.597",23597,10-APR-11,"perez"
842,10,1,17,"16:34:28","24.617",24617,10-APR-11,"glock"
842,816,1,17,"16:34:39","26.252",26252,10-APR-11,"ambrosio"
842,22,2,17,"16:35:41","24.502",24502,10-APR-11,"barrichello"
842,67,2,20,"16:39:30","29.843",29843,10-APR-11,"buemi"
842,17,2,22,"16:42:37","21.991",21991,10-APR-11,"webber"
842,18,2,23,"16:44:11","22.471",22471,10-APR-11,"button"
842,814,2,24,"16:46:20","22.419",22419,10-APR-11,"resta"
842,20,2,25,"16:47:27","21.893",21893,10-APR-11,"vettel"
842,4,2,26,"16:49:19","23.894",23894,10-APR-11,"alonso"
842,2,2,26,"16:49:31","23.221",23221,10-APR-11,"heidfeld"
842,13,2,27,"16:51:17","22.541",22541,10-APR-11,"massa"
842,808,2,27,"16:51:25","22.680",22680,10-APR-11,"petrov"
842,3,2,29,"16:55:28","22.577",22577,10-APR-11,"rosberg"
842,17,3,32,"17:00:01","22.069",22069,10-APR-11,"webber"
842,153,2,32,"17:00:55","22.888",22888,10-APR-11,"alguersuari"
842,16,3,32,"17:00:56","22.550",22550,10-APR-11,"sutil"
842,5,2,34,"17:04:41","23.336",23336,10-APR-11,"kovalainen"
842,10,2,34,"17:05:19","24.429",24429,10-APR-11,"glock"
842,816,2,35,"17:07:20","24.416",24416,10-APR-11,"ambrosio"
842,155,2,36,"17:07:26","23.442",23442,10-APR-11,"kobayashi"
842,814,3,37,"17:09:21","23.977",23977,10-APR-11,"resta"
842,18,3,38,"17:10:13","22.483",22483,10-APR-11,"button"
842,13,3,38,"17:10:28","22.893",22893,10-APR-11,"massa"
842,2,3,39,"17:12:09","22.602",22602,10-APR-11,"heidfeld"
842,24,2,38,"17:13:32","26.554",26554,10-APR-11,"liuzzi"
842,20,3,41,"17:15:08","22.313",22313,10-APR-11,"vettel"
842,4,3,41,"17:15:25","23.812",23812,10-APR-11,"alonso"
842,30,3,42,"17:18:08","22.227",22227,10-APR-11,"michael_schumacher"
842,17,4,43,"17:19:10","22.161",22161,10-APR-11,"webber"
842,4,4,46,"17:24:24","27.182",27182,10-APR-11,"alonso"
842,1,4,52,"17:34:48","22.466",22466,10-APR-11,"hamilton"
843,153,1,9,"15:19:36","22.419",22419,17-APR-11,"alguersuari"
843,24,1,9,"15:20:00","14.160",14160,17-APR-11,"liuzzi"
843,813,1,10,"15:21:35","23.160",23160,17-APR-11,"maldonado"
843,814,1,11,"15:22:57","21.989",21989,17-APR-11,"resta"
843,3,1,12,"15:24:32","20.771",20771,17-APR-11,"rosberg"
843,18,1,14,"15:27:59","23.779",23779,17-APR-11,"button"
843,20,1,14,"15:28:00","21.995",21995,17-APR-11,"vettel"
843,1,1,15,"15:29:49","20.878",20878,17-APR-11,"hamilton"
843,16,1,15,"15:30:01","20.989",20989,17-APR-11,"sutil"
843,4,1,16,"15:31:34","22.524",22524,17-APR-11,"alonso"
843,815,1,16,"15:31:55","21.473",21473,17-APR-11,"perez"
843,67,2,16,"15:32:19","24.722",24722,17-APR-11,"buemi"
843,808,1,17,"15:33:36","21.981",21981,17-APR-11,"petrov"
843,5,1,19,"15:37:31","22.485",22485,17-APR-11,"kovalainen"
843,15,1,20,"15:39:24","23.029",23029,17-APR-11,"trulli"
843,816,1,20,"15:39:50","22.901",22901,17-APR-11,"ambrosio"
843,24,2,21,"15:42:05","24.467",24467,17-APR-11,"liuzzi"
843,3,2,25,"15:47:13","22.005",22005,17-APR-11,"rosberg"
843,1,2,25,"15:47:20","20.533",20533,17-APR-11,"hamilton"
843,813,2,25,"15:48:09","22.062",22062,17-APR-11,"maldonado"
843,10,2,28,"15:54:22","21.908",21908,17-APR-11,"glock"
843,16,2,30,"15:56:26","21.058",21058,17-APR-11,"sutil"
843,2,2,30,"15:56:29","21.821",21821,17-APR-11,"heidfeld"
843,20,2,31,"15:57:37","21.533",21533,17-APR-11,"vettel"
843,4,2,32,"15:59:39","21.251",21251,17-APR-11,"alonso"
843,13,2,33,"16:01:04","21.168",21168,17-APR-11,"massa"
843,816,2,34,"16:05:10","22.802",22802,17-APR-11,"ambrosio"
843,22,2,35,"16:05:24","21.481",21481,17-APR-11,"barrichello"
843,18,3,37,"16:08:00","21.237",21237,17-APR-11,"button"
843,808,2,37,"16:08:34","22.005",22005,17-APR-11,"petrov"
843,3,3,39,"16:11:19","20.720",20720,17-APR-11,"rosberg"
843,17,3,40,"16:13:29","21.091",21091,17-APR-11,"webber"
843,10,3,39,"16:14:17","33.827",33827,17-APR-11,"glock"
843,5,2,40,"16:14:27","21.890",21890,17-APR-11,"kovalainen"
843,15,2,42,"16:18:14","22.260",22260,17-APR-11,"trulli"
